Order ID,Order Date,Category,Product,Region,City,Customer Segment,Sales Channel,Quantity,Unit Price,Gross Sales,Discount %,Discount Amount,Net Sales,Profit
100001,2024-01-01,Sports & Outdoors,Yoga Mat,South,Bangalore,Consumer,Marketplace,1,33.16,33.16,0.0,0.0,33.16,11.72
100014,2024-01-01,Sports & Outdoors,Yoga Mat,South,Chennai,Consumer,Online,1,47.76,47.76,0.0,0.0,47.76,16.78
100013,2024-01-01,Home & Kitchen,Non-Stick Pan Set,North,Lucknow,Consumer,Marketplace,3,123.93,371.79,0.1,37.18,334.61,130.62
100012,2024-01-01,Apparel,Wool Sweater,West,Pune,Enterprise,Retail Store,1,91.91,91.91,0.0,0.0,91.91,38.87
100011,2024-01-01,Electronics,USB-C Hub,East,Bhubaneswar,Consumer,Online,1,190.34,190.34,0.0,0.0,190.34,62.3
100010,2024-01-01,Home & Kitchen,Blender,South,Chennai,Consumer,Marketplace,1,129.78,129.78,0.0,0.0,129.78,33.63
100008,2024-01-01,Home & Kitchen,Electric Kettle,North,Chandigarh,Enterprise,Marketplace,1,147.21,147.21,0.15,22.08,125.13,49.54
100009,2024-01-01,Electronics,USB-C Hub,West,Ahmedabad,Small Business,Online,1,128.17,128.17,0.0,0.0,128.17,41.14
100006,2024-01-01,Sports & Outdoors,Resistance Bands,South,Chennai,Consumer,Online,1,109.12,109.12,0.05,5.46,103.66,27.99
100005,2024-01-01,Apparel,Sunglasses,North,Delhi,Consumer,Online,1,85.78,85.78,0.0,0.0,85.78,43.91
100004,2024-01-01,Office Supplies,File Folders,East,Kolkata,Consumer,Online,1,5.31,5.31,0.0,0.0,5.31,1.27
100003,2024-01-01,Apparel,Backpack,South,Hyderabad,Consumer,Online,2,12.2,24.4,0.0,0.0,24.4,9.0
100002,2024-01-01,Electronics,Mechanical Keyboard,North,Lucknow,Consumer,Marketplace,1,165.98,165.98,0.05,8.3,157.68,46.52
100007,2024-01-01,Electronics,Webcam HD,West,Ahmedabad,Small Business,Online,1,34.01,34.01,0.0,0.0,34.01,6.68
100022,2024-01-02,Electronics,Power Bank,East,Guwahati,Small Business,Retail Store,1,143.63,143.63,0.05,7.18,136.45,42.93
100024,2024-01-02,Home & Kitchen,Electric Kettle,North,Lucknow,Consumer,Retail Store,1,175.08,175.08,0.0,0.0,175.08,73.91
100023,2024-01-02,Electronics,Phone Charger,East,Guwahati,Consumer,Online,2,93.88,187.76,0.0,0.0,187.76,52.82
100020,2024-01-02,Office Supplies,Desk Lamp,West,Mumbai,Consumer,Online,1,40.27,40.27,0.0,0.0,40.27,12.75
100021,2024-01-02,Electronics,Mechanical Keyboard,North,Delhi,Small Business,Online,2,119.45,238.9,0.0,0.0,238.9,46.69
100018,2024-01-02,Sports & Outdoors,Dumbbell Set,East,Kolkata,Small Business,Online,2,127.81,255.62,0.05,12.78,242.84,92.1
100017,2024-01-02,Apparel,Men's T-Shirt,West,Mumbai,Consumer,Marketplace,2,60.95,121.9,0.0,0.0,121.9,44.28
100016,2024-01-02,Apparel,Men's T-Shirt,South,Bangalore,Consumer,Marketplace,1,119.26,119.26,0.05,5.96,113.3,57.24
100015,2024-01-02,Apparel,Yoga Pants,South,Hyderabad,Consumer,Online,2,43.63,87.26,0.0,0.0,87.26,46.69
100019,2024-01-02,Home & Kitchen,Electric Kettle,West,Ahmedabad,Small Business,Retail Store,1,33.74,33.74,0.0,0.0,33.74,13.46
100033,2024-01-03,Sports & Outdoors,Camping Tent,West,Ahmedabad,Consumer,Marketplace,1,121.97,121.97,0.05,6.1,115.87,36.96
100032,2024-01-03,Sports & Outdoors,Bike Helmet,South,Bangalore,Enterprise,Online,1,124.58,124.58,0.0,0.0,124.58,28.96
100030,2024-01-03,Apparel,Men's T-Shirt,West,Pune,Small Business,Marketplace,1,72.5,72.5,0.0,0.0,72.5,27.0
100029,2024-01-03,Apparel,Denim Jacket,North,Lucknow,Consumer,Online,2,108.65,217.3,0.1,21.73,195.57,89.55
100031,2024-01-03,Home & Kitchen,Storage Containers,North,Delhi,Consumer,Online,1,19.85,19.85,0.0,0.0,19.85,8.45
100027,2024-01-03,Sports & Outdoors,Bike Helmet,South,Hyderabad,Small Business,Marketplace,2,219.71,439.42,0.05,21.97,417.45,111.63
